RECORDID,gold_labels,compound_by_article,average_sentence,median_sentence,mode_sentence,pstd_sentence,average_paragraph,median_paragraph,mode_paragraph,pstd_paragraph,avg_first_last_para
20200402-14948,-1,0.9239,0.09861538461538463,0.0,0.0,0.3766285802426859,0.11654545454545456,0.0,0.0,0.4068785598668709,0.5106
20200519-2031,0,-0.9859,-0.06698620689655173,0.0,0.0,0.18772276830684334,-0.1421,0.0,0.0,0.30457482167769545,0.07089999999999996
20200821-67105,1,0.9731,0.17229310344827586,0.0,0.0,0.2902414808290105,0.21625,0.24914999999999998,0.0,0.31859948603222826,0.1263
20200714-55643,0,0.7506,0.19746000000000002,0.0,0.0,0.2420756047188564,0.3291,0.4767,0.5106,0.23312001201098118,0.5106
20200731-60829,1,0.9863,0.19054137931034484,0.1027,0.0,0.27154887096475916,0.29163333333333336,0.3902,0.0,0.3273540200523654,0.5106
20200318-27706,1,0.4105,-0.04735000000000001,-0.0386,0.0,0.47518882168039267,-0.04080909090909092,-0.0772,-0.1531,0.5436001646506966,0.7094
20200521-77560,0,0.9893,0.22423809523809524,0.2023,0.0,0.3345655925100637,0.32106153846153845,0.4404,0.0,0.3965686894395307,1.2759
20200323-27126,-1,-0.7642,-0.0030925925925925947,0.0,0.0,0.35494726778507996,-0.022190000000000005,0.0,0.0,0.3829280126864578,0.3182
20200109-16119,-1,-0.9988,-0.2444063829787234,-0.2023,0.0,0.3653809882232548,-0.39721,-0.4393,0.0,0.41668921020348004,-1.136
20200825-83767,1,0.9896,0.3270875,0.41169999999999995,0.0,0.2805456444034553,0.4691272727272727,0.4404,0.4019,0.22385796264152974,0.7269
20200618-84902,1,0.0516,0.005822580645161296,0.0,0.0,0.24476454612239404,0.04545454545454546,0.0,0.0,0.3586317847385998,0.5106
20200813-64806,0,0.9934,0.10159302325581396,0.0,0.0,0.3734724150925286,0.1411037037037037,0.0,0.0,0.43709682839582575,1.0724
20200617-16276,-1,-0.5023,-0.028591666666666668,0.0,0.0,0.16732534903760266,-0.078575,-0.05795,-0.0387,0.10945771729302599,-0.2887
20200312-45067,-1,0.9862,0.16225416666666667,0.0,0.0,0.29879037799540814,0.5127,0.63495,0.7841,0.35248652929343743,1.3835000000000002
20200301-24851,-1,0.873,0.019776315789473684,0.0,0.0,0.3195337890330145,0.035764285714285714,0.0,0.0,0.3664372419609098,0.5106
20200306-49357,-1,0.9899,0.12023714285714286,0.0,0.0,0.27442085102548425,0.2016111111111111,0.1897,0.0,0.34297048445876005,0.5106
20200812-12733,-1,-0.6837,-0.026942857142857136,0.0,0.0,0.2975426937295499,-0.03900555555555555,0.0,0.0,0.3537415840729912,0.5106
20200520-32272,0,0.991,0.11422068965517242,0.0,0.0,0.34185066348284643,0.1779105263157895,0.0,0.0,0.38256934135111803,0.2023
20200704-29607,-1,-0.9893,-0.1629095238095238,-0.0772,0.0,0.49654167225948864,-0.1711470588235294,-0.2023,-0.296,0.5272151666095297,-0.2023
20200721-89203,1,-0.9278,-0.041655,0.0,0.0,0.25285162146009665,-0.09482352941176471,0.0,0.0,0.3659601256476091,0.0
20200430-97834,-1,0.7391,0.23325,0.2553,0.7184,0.40212083693835116,0.18660000000000002,0.0,0.0,0.3715720979836888,0.5106
20200802-35464,-1,-0.7072,-0.06959777777777777,0.0,0.0,0.3127688614004412,-0.141995,-0.12575,0.0,0.3648271131303155,-0.9537
20200520-78299,-1,0.9756,0.11456923076923077,0.0,0.0,0.26541111473049733,0.2502,0.1779,0.0,0.2741766948520607,0.0
20200401-21279,1,0.9882,0.13479583333333334,0.051500000000000004,0.0,0.38452395837707204,0.1303666666666667,0.0258,0.0,0.40557428341190394,0.5106
20200917-67165,1,0.9987,0.14219054054054053,0.0,0.0,0.36057515922628275,0.21265952380952383,0.15295,0.0,0.40654845494580455,0.1263
20200821-71279,-1,-0.8074,-0.04820526315789474,0.0,0.0,0.3457655647426054,-0.04820526315789474,0.0,0.0,0.3457655647426054,0.5106
20200724-67278,0,0.9978,0.04508333333333333,0.0,0.0,0.3329806430734618,0.06633875,0.0,0.0,0.40756919182322593,-0.765
20200828-11213,-1,-0.9602,-0.04140862068965517,0.0,0.0,0.37307632771993726,-0.04835121951219513,0.0,0.0,0.4393675510748799,-0.3612
20200716-36399,-1,-0.886,-0.011022222222222215,0.0,0.0,0.4133993126849572,2.8571428571437566e-05,0.0,0.0,0.4779681854752789,0.5106
20200601-46782,1,0.9954,0.25122758620689656,0.0,0.0,0.3154186193709841,0.3939666666666667,0.3182,0.0,0.35578303438409703,0.6705
20200603-68554,1,0.9972,0.07383026315789475,0.0,0.0,0.3126530593669438,0.07498412698412699,0.0,0.0,0.3714777180210714,-0.8585
20200830-21338,-1,-0.659,-0.030493333333333338,0.0,0.0,0.3464251000657365,-0.0021571428571428536,0.0,0.0,0.35266980857106417,0.5106
20200814-9573,0,0.9541,0.1682,0.0,0.0,0.4274838398505063,0.1878923076923077,0.0,0.0,0.3906538216917465,0.5106
20200902-16179,-1,0.1238,0.011183720930232559,0.0,0.0,0.367445168781103,0.012483333333333336,0.0,0.0,0.4014617371417716,0.3182
20200318-91186,1,0.9538,0.18446666666666667,0.2023,0.0,0.2802118476359548,0.18202307692307693,0.2023,0.0,0.3769782694284934,0.5106
20200413-56682,-1,0.9366,0.05186428571428571,0.0,0.0,0.250859211911144,0.11012,0.0,0.0,0.35658591755704544,0.5106
20200414-81364,1,0.9892,0.07698823529411765,0.0,0.0,0.32042068465645185,0.14016896551724137,0.0516,0.0,0.4226827016548468,0.5106
20200802-16065,1,0.9349,0.16154285714285715,0.0,0.0,0.22672158733403688,0.2822571428571429,0.0,0.0,0.32639874762164695,0.0
20200429-88231,-1,-0.9995,-0.05220540540540541,0.0,0.0,0.36126008669800747,-0.14420285714285713,-0.1531,0.0,0.5407501342636194,0.0
20200713-20798,-1,0.9838,0.15156571428571428,0.0,0.0,0.3071522032597958,0.40799,0.47409999999999997,0.0,0.3656673309170509,-0.2263
20200318-92913,-1,-0.4404,-0.03677142857142857,0.0,0.0,0.29668970666475153,-0.06435,0.0258,-0.6908,0.3902162060960564,-0.6908
20200630-21413,0,-0.9724,-0.0703867924528302,0.0,0.0,0.2964109341792782,-0.041927906976744186,0.0,0.0,0.39097887727729563,0.5562
20200605-10136,1,0.9095,0.038795121951219515,0.0,0.0,0.35974096097135627,0.07321363636363637,0.0,0.0,0.4617951998800241,0.5106
20200313-91507,-1,0.3008,0.026552000000000003,0.0,0.0,0.3019311486017963,0.03937619047619048,0.0,0.0,0.39587828204513986,0.3182
20200928-59709,-1,-0.6049,0.04304705882352942,0.0,0.0,0.3802290627219444,0.0466875,0.0,0.0,0.393620891332955,0.3066
20200820-93740,0,0.9978,0.161422,0.0,0.0,0.2821985537099721,0.29692,0.18489999999999998,0.0,0.3761214572448639,0.0
20200318-52272,-1,-0.993,-0.04383030303030303,0.0,0.0,0.389168116525635,-0.0508575,0.0,0.0,0.5424954496986588,-0.2755
20200501-35128,-1,0.926,0.003014492753623189,0.0,0.0,0.2959834265215999,-0.013747999999999995,0.0,0.0,0.45727996424072637,0.5106
20200701-62322,1,0.9985,0.20633061224489796,0.0,0.0,0.32689180835409887,0.23087619047619048,0.21345,0.0,0.34952358514979176,-0.25
20200422-97860,-1,-0.7012,-0.034258461538461536,0.0,0.0,0.265354492007206,-0.05989024390243902,0.0,0.0,0.3244324168074921,0.5106
20200905-23146,-1,0.9888,0.057912962962962965,0.0,0.0,0.26712710807590945,0.10240357142857143,0.0,0.0,0.35820650516760266,1.3173
20200726-30614,-1,-0.997,-0.14820285714285714,-0.1892,0.0,0.4208028700239676,-0.11762985074626867,-0.1027,0.0,0.4201325384390045,-0.7585999999999999
20200524-18392,-1,0.802,0.10852727272727272,0.0,0.0,0.18675150767754115,0.19896666666666665,0.1591,0.0,0.21434817211464363,0.5574
